Slate Axeswinger's
 
 @@@@@ @@@@@ @@  @   @   @      
 @       @   @ @ @  @ @  @ 
 @@@     @   @ @ @ @@@@@ @ 
 @       @   @  @@ @   @ @
 @     @@@@@ @   @ @   @ @@@@@

                   @@@@@   @   @@  @ @@@@@   @    @@@@ @   @
                   @      @ @  @ @ @   @    @ @  @     @   @ 
                   @@@   @@@@@ @ @ @   @   @@@@@  @@@   @@@
                   @     @   @ @  @@   @   @   @     @   @
                   @     @   @ @   @   @   @   @ @@@@    @

                                                     @@@@@@@@@@@@@
                                                      @ @   @   @ 
                                                      @ @   @   @
                                                       @    @   @
                                                     @@@@@@@@@@@@@

              M O N S T E R   T R E A S U R E   C H A R T
                         V E R S I O N   1 . 4 

This chart shows what items you can get from defeating, stealing
from, or morphing enemies.  The monsters are listed in alphabetical
order.  "nothing" means that you get nothing from this monster by
doing that.  "*" next to an item means that it can only be obtained
in that way with a Game Shark.  "???????????" means that  either you
can not use do this to this enemy, because it is out of reach or
you can not have the ability at time you fight the enemy, or else I 
just don't know what you get. 

/------------------+---------------+---------------+---------------\
|   Monster Name   |      Win      |     Steal     |     Morph     |
+------------------+---------------+---------------+---------------+
|????????????????? |nothing        |nothing        |nothing        |
|1st Ray           |nothing        |???????????????|???????????????|
|2-Faced           |Hi-Potion      |Phoenix Down   |???????????????|
|8 eye             |???????????????|nothing        |Magic Source   |
|Acrophies         |???????????????|Water Ring     |nothing        |
|Adamantaimai      |Phoenix Down   |Adaman Bangle  |nothing        |
|Aero Combatant    |Potion         |Potion         |???????????????|
|Air Buster        |Titan Bangle   |???????????????|???????????????|
|Allemagne         |Eye drop       |Eye drop       |nothing        |
|Ancient Dragon    |Turbo Ether    |nothing        |nothing        |
|Aps               |Phoenix Down   |???????????????|???????????????|
|Ark Dragon        |Ether          |Ether          |Phoenix Down   |
|Armored Golem     |Echo Screen    |Turbo Ether    |Guard Source   |
|Attack Squad      |8inch Cannon   |Tranquilizer   |nothing        |
|                  |S-mine         |S-mine         |               |
|Bad Rap           |Dazers         |Ink            |Luck Source    |
|Bad Rap Sample    |???????????????|nothing        |nothing        |
|Bagnadrana        |Hi-Potion      |Diamond Pin    |Guard Source   |
|Bagrisk           |Soft           |Soft           |???????????????|
|Bahba Velamyo     |Mute Mask      |nothing        |Mute Mask      |
|Bandersnatch      |Hi-Potion      |nothing        |Ice Crystal    |
|Bandit            |Tent           |X-Potion       |???????????????|
|Battery Cap       |Eye drop       |Dazers         |nothing        |
|                  |Dazers         |               |               |
|Beachplug         |Hi-Potion      |nothing        |Turbo Ether    |
|Behemoth          |???????????????|War Gong       |nothing        |
|                  |               |Phoenix Down   |               |
|Bizzare Bug       |X-Potion       |nothing        |nothing        |
|Bizzaro*SephirothA|nothing        |nothing        |nothing        |
