x;y;Distance;Type;Status;Player;Alliance;Bonus
-15;76;28,3019;3W 3C 3I 9C;[2]PORTO; che_guevara;BERSERK.;100%
-8;78;23,4094;3W 3C 3I 9C;vale abandonado ;;;Pending... (please wait)
6;76;24,7386;3W 3C 3I 9C;vale abandonado ;;;75%
6;77;23,7697;3W 3C 3I 9C;vale abandonado ;;;25%
8;78;23,4094;3W 3C 3I 9C;REICHSTAG; Rommel;Ð&A;50%
9;79;22,8473;3W 3C 3I 9C;Terrorista 01; msmadureira;;50%
11;82;21,095;1W 1C 1I 15C;vale abandonado ;;;25%
12;77;25,9422;3W 3C 3I 9C;vale abandonado ;;;Pending... (please wait)
-22;86;26,0768;1W 1C 1I 15C;vale abandonado ;;;50%
-18;88;21,6333;1W 1C 1I 15C;forte pitt; tsaeb;ÓRION;0%
-12;84;20;1W 1C 1I 15C;01.Please Die; Europe;BERSERK.;75%
-9;86;16,6433;3W 3C 3I 9C;Quemedo; divus;ÓRION;Pending... (please wait)
2;88;12,1655;1W 1C 1I 15C;vale abandonado ;;;Pending... (please wait)
16;85;21,9317;1W 1C 1I 15C;02-Tão Tão Distante; p3t3r;-SVPPB-;Pending... (please wait)
-12;94;13,4164;1W 1C 1I 15C;vale abandonado ;;;25%
-8;90;12,8062;3W 3C 3I 9C;vale abandonado ;;;75%
-2;90;10,198;3W 3C 3I 9C;&nbsp;(-2|90)&nbsp;; black_sea_tr;PWR TURK;25%
-2;91;9,2195;1W 1C 1I 15C;&nbsp;(-2|91)&nbsp;; black_sea_tr;PWR TURK;25%
-2;93;7,2801;1W 1C 1I 15C;Persa; Were Cat;PWR TURK;25%
3;95;5,831;3W 3C 3I 9C;havajai2; havajai;ÓRION;75%
5;90;11,1803;3W 3C 3I 9C;vale abandonado ;;;50%
6;94;8,4853;1W 1C 1I 15C;Boba City 1; diabos;PWR_BR;50%
6;95;7,8102;3W 3C 3I 9C;vale abandonado ;;;Pending... (please wait)
15;90;18,0278;3W 3C 3I 9C;Nova aldeia; xX JR Xx;H$-SVPPB;75%
22;94;22,8035;1W 1C 1I 15C;02_Dengue; s.d.p 2;H$-SVPPB;75%
-24;101;24,0208;1W 1C 1I 15C;vale abandonado ;;;0%
-18;102;18,1108;1W 1C 1I 15C;vale abandonado ;;;Pending... (please wait)
-8;101;8,0623;3W 3C 3I 9C;02-Karatê; brigão;SoT-WR;Pending... (please wait)
7;99;7,0711;1W 1C 1I 15C;00. eL Mariton; rNy;;75%
10;101;10,0499;3W 3C 3I 9C;vale abandonado ;;;75%
15;101;15,0333;3W 3C 3I 9C;[[[ LETICIA ]]]; MATTE;H$;50%
22;97;22,2036;1W 1C 1I 15C;vale abandonado ;;;50%
23;101;23,0217;3W 3C 3I 9C;Nova aldeia; joceli;;75%
-24;108;25,2982;1W 1C 1I 15C;&nbsp;(-24|108)&nbsp;; PKT;SoT-WR;0%
-22;108;23,4094;1W 1C 1I 15C;&nbsp;(-22|108)&nbsp;; jiban;BW-IFT;50%
-18;104;18,4391;3W 3C 3I 9C;2.Earth; givemeyoursoul;ÓRION;100%
-16;107;17,4642;1W 1C 1I 15C;vale abandonado ;;;Pending... (please wait)
0;110;10;1W 1C 1I 15C;vale abandonado ;;;25%
5;109;10,2956;1W 1C 1I 15C;vale abandonado ;;;75%
9;108;12,0416;3W 3C 3I 9C;[2] Come up; lly;;75%
11;105;12,083;3W 3C 3I 9C;vale abandonado ;;;50%
12;105;13;3W 3C 3I 9C;vale abandonado ;;;Pending... (please wait)
-20;113;23,8537;3W 3C 3I 9C;error; kill_you;;Pending... (please wait)
-10;114;17,2047;3W 3C 3I 9C;|02|; shuffle;BERSERK.;Pending... (please wait)
2;114;14,1421;1W 1C 1I 15C;vale abandonado ;;;25%
3;117;17,2627;3W 3C 3I 9C;vale abandonado ;;;Pending... (please wait)
13;111;17,0294;3W 3C 3I 9C;vale abandonado ;;;Pending... (please wait)
-22;118;28,4253;1W 1C 1I 15C;个会三对哪; SONYA & PHILL;BERSERKs;Pending... (please wait)
-5;122;22,561;1W 1C 1I 15C;&nbsp;(-5|122)&nbsp;; skyp;SoT-WR;75%
-2;121;21,095;1W 1C 1I 15C;02; gfae;SoT-WR;Pending... (please wait)
7;119;20,2485;1W 1C 1I 15C;..; huseol;;25%
8;123;24,3516;1W 1C 1I 15C;Nova aldeia; angel;Ð&A;75%
11;118;21,095;1W 1C 1I 15C;.; huseol;;75%
14;123;26,9258;1W 1C 1I 15C;vale abandonado ;;;100%
17;124;29,4109;1W 1C 1I 15C;1 - Legends; Sara Trantoul;Knights;125%
22;120;29,7321;1W 1C 1I 15C;Tio Ozama; pro-okaida;*SVPPB*;Pending... (please wait)
