x;y;Distance;Type;Status;Player;Alliance;Bonus
15;157;17;1W 1C 1I 15C;vale abandonado ;;;50%
19;151;19,105;1W 1C 1I 15C;&nbsp;(19|151)&nbsp;; avalon;;Pending... (please wait)
-24;143;24,7386;1W 1C 1I 15C;serei eu?????; fui eu;;Pending... (please wait)
15;132;22,6716;1W 1C 1I 15C;vale abandonado ;;;Pending... (please wait)
1;145;4,1231;1W 1C 1I 15C;vale abandonado ;;;Pending... (please wait)
-23;147;23,0868;1W 1C 1I 15C;&nbsp;(-23|147)&nbsp;; Ruifao;BERSERK.;25%
-5;155;7,8102;1W 1C 1I 15C;&nbsp;(-5|155)&nbsp;; Esqueleto;;100%
1;155;6,0828;1W 1C 1I 15C;(02) Reykjavik; Mr. Phodastic;-SVPPB-;Pending... (please wait)
-5;173;24,5153;1W 1C 1I 15C;vale abandonado ;;;75%
5;151;5,3852;1W 1C 1I 15C;§Oscar Alhos§; Red Dragon SP;LM18+;Pending... (please wait)
17;155;18,0278;1W 1C 1I 15C;02 - A Culpa É...; Mocita;LM18+;50%
-6;132;18,0278;1W 1C 1I 15C;02. Afrodita; Diosa Venus;;0%
-6;131;18,9737;1W 1C 1I 15C;03. Diosa Marte; Diosa Venus;;0%
-17;141;18,7883;1W 1C 1I 15C;1; equitable;;125%
22;135;26,0768;1W 1C 1I 15C;vale abandonado ;;;75%
16;170;26,4008;1W 1C 1I 15C;vale abandonado ;;;50%
-10;149;10;1W 1C 1I 15C;Zoro; AlexBerseker;NERVOSOS;100%
14;128;25,2389;1W 1C 1I 15C;vale abandonado ;;;Pending... (please wait)
-11;143;12,53;1W 1C 1I 15C;Capitão da aldeia II; geovanio;NERVOSOS;75%
22;143;22,8035;1W 1C 1I 15C;Q.G Drjr; Dr. Noras;SVPPB-Ak;25%
-4;148;4,1231;1W 1C 1I 15C;vale abandonado ;;;Pending... (please wait)
-3;144;5,831;1W 1C 1I 15C;I; trovao11;NERVOSOS;75%
13;150;13,0384;1W 1C 1I 15C;Mãe Dégua; Flay;LM18+;50%
4;134;15,5242;1W 1C 1I 15C;Milano; letale;;75%
-2;168;19,105;1W 1C 1I 15C;vale abandonado ;;;75%
13;131;22,2036;1W 1C 1I 15C;vale abandonado ;;;0%
-7;154;8,6023;1W 1C 1I 15C;vale abandonado ;;;100%
-12;130;22,4722;1W 1C 1I 15C;Nova aldeia; JuanK;SoT-WR;25%
9;165;18,3576;1W 1C 1I 15C;OxZeusxO; OxAresxO;LM18+;Pending... (please wait)
1;125;24,0208;3W 3C 3I 9C;Nova aldeia; L.T.G.;SoT-WR;Pending... (please wait)
-8;167;19,6977;3W 3C 3I 9C;Habib¨s; NEM ME VIU;PWR TURK;100%
24;136;27,2947;3W 3C 3I 9C;vale abandonado ;;;100%
23;157;24,3516;3W 3C 3I 9C;1º HangaR do KapetA; havengarba;H$-SVPPB;Pending... (please wait)
7;137;13,8924;3W 3C 3I 9C;área 51; lcd;;50%
-17;147;17,1172;3W 3C 3I 9C;Nova aldeia; samurai;;Pending... (please wait)
15;147;15,1327;3W 3C 3I 9C;[B] zodiaco; zodiaco;H$-SVPPB;100%
21;157;22,4722;3W 3C 3I 9C;vale abandonado ;;;75%
19;169;27,5862;3W 3C 3I 9C;Nova aldeia; TheDruids;$ON$;75%
-10;166;19,7231;3W 3C 3I 9C;Hezbollah; _Mello;BERSERK.;50%
-17;162;21,4009;3W 3C 3I 9C;Buttercup; Ioan;*SVPPB*;Pending... (please wait)
19;162;23,0217;3W 3C 3I 9C;vale abandonado ;;;25%
9;162;15,8114;3W 3C 3I 9C;vale abandonado ;;;100%
-6;153;7,2111;3W 3C 3I 9C;vale abandonado ;;;25%
-9;151;9,2195;3W 3C 3I 9C;vale abandonado ;;;50%
20;162;23,8537;3W 3C 3I 9C;vale abandonado ;;;25%
20;163;24,4131;3W 3C 3I 9C;vale abandonado ;;;Pending... (please wait)
-21;173;31,8904;3W 3C 3I 9C;vale abandonado ;;;Pending... (please wait)
-14;171;26,0768;3W 3C 3I 9C;vale abandonado ;;;100%
-2;136;13,1529;3W 3C 3I 9C;vale abandonado ;;;25%
-7;170;22,1359;3W 3C 3I 9C;vale abandonado ;;;50%
2;167;18,1108;3W 3C 3I 9C;vale abandonado ;;;Pending... (please wait)
-5;137;13;3W 3C 3I 9C;vale abandonado ;;;50%
10;169;22,3607;3W 3C 3I 9C;vale abandonado ;;;0%
-11;154;12,083;3W 3C 3I 9C;vale abandonado ;;;75%
19;171;29,0689;3W 3C 3I 9C;vale abandonado ;;;Pending... (please wait)
-3;164;15,2971;3W 3C 3I 9C;vale abandonado ;;;Pending... (please wait)
-5;140;10,2956;3W 3C 3I 9C;AFINAL NÃO; pfisgas;H$;75%
