x;y;Distance;Type;Status;Player;Alliance;Bonus
-188;0;0;1W 1C 1I 15C;[04] CbN_MT; MestreLion;BRKS-WAR;100%
-189;-1;1,4142;3W 3C 3I 9C;[02] ChuckNorris; MestreLion;BRKS-WAR;75%
-186;4;4,4721;3W 3C 3I 9C;[07] FenixDoInferno; MestreLion;BRKS-WAR;100%
-184;2;4,4721;1W 1C 1I 15C;[06] Fofinha; MestreLion;BRKS-WAR;100%
-194;-1;6,0828;1W 1C 1I 15C;[03] MestreFanfarrao; MestreLion;BRKS-WAR;75%
-183;-4;6,4031;1W 1C 1I 15C;[05] Touchable; MestreLion;BRKS-WAR;75%
-194;-6;8,4853;3W 3C 3I 9C;[11] Sadat; MestreLion;BRKS-WAR;100%
-180;4;8,9443;3W 3C 3I 9C;[15] Paulinha; MestreLion;BRKS-WAR;25%
-182;7;9,2195;3W 3C 3I 9C;[12] WWF; MestreLion;BRKS-WAR;50%
-196;8;11,3137;3W 3C 3I 9C;vale abandonado ;;;25%
-177;-6;12,53;3W 3C 3I 9C;vale abandonado ;;;25%
-194;13;14,3178;3W 3C 3I 9C;belita 7; isabel;*W@R*;25%
-180;-12;14,4222;3W 3C 3I 9C;vale abandonado ;;;125%
-184;14;14,5602;1W 1C 1I 15C;[09] Agamemnon; MestreLion;BRKS-WAR;25%
-186;-15;15,1327;1W 1C 1I 15C;&nbsp;(-186|-15)&nbsp;; fluffykitten;;75%
-202;-6;15,2315;1W 1C 1I 15C;[17] Russex; MestreLion;BRKS-WAR;50%
-176;-10;15,6205;1W 1C 1I 15C;Cyclops; WolverineBR;SCS5;75%
-204;6;17,088;1W 1C 1I 15C;Р7; PIT;SoT-Ru;100%
-172;-9;18,3576;3W 3C 3I 9C;[18] Ball; MestreLion;BRKS-WAR;0%
-205;-10;19,7231;1W 1C 1I 15C;1.Truffle; Lilas;SoT-Ru;75%
-177;17;20,2485;1W 1C 1I 15C;01; jtas01;ßER$ERK;75%
-205;-12;20,8087;3W 3C 3I 9C;2.Pink Fish; Lilas;SoT-Ru;75%
